EXC_1	EXC_2	INH_1	INH_2
ENSMUSG00000000001___Gnai3	16.31431	16.645777	17.63109	18.187218
ENSMUSG00000000003___Pbsn	0	0	0	0
ENSMUSG00000000028___Cdc45	1.412531	1.883104	2.047857	1.347534
ENSMUSG00000000031___H19	0	0	0	0.154065
ENSMUSG00000000037___Scml2	1.134751	3.370063	2.13876	3.602735
ENSMUSG00000000049___Apoh	1.454441	1.828602	0.790884	0.96283
ENSMUSG00000000056___Narf	40.139477	40.070454	43.937378	46.33437
ENSMUSG00000000058___Cav2	4.859211	5.181216	4.347263	3.888436
ENSMUSG00000000078___Klf6	26.929857	28.028782	14.76889	12.267986
ENSMUSG00000000085___Scmh1	123.524353	117.796684	161.807693	161.705521
ENSMUSG00000000088___Cox5a	28.533253	39.169666	62.246105	39.263287
ENSMUSG00000000093___Tbx2	0.330981	1.094599	0.51669	0.440645
ENSMUSG00000000094___Tbx4	0	0	0	0.223401
ENSMUSG00000000103___Zfy2	0	0	0	0
ENSMUSG00000000120___Ngfr	0.207173	0	2.239022	0.766183
ENSMUSG00000000125___Wnt3	4.557474	1.669518	6.574631	7.002617
ENSMUSG00000000126___Wnt9a	8.389699	6.781775	1.091147	1.192006
ENSMUSG00000000127___Fer	45.784492	49.45586	45.568222	53.522572
ENSMUSG00000000131___Xpo6	95.368866	107.801651	110.671272	118.678192
ENSMUSG00000000134___Tfe3	11.098162	15.123864	10.973063	13.42903
ENSMUSG00000000142___Axin2	23.017836	23.516638	22.003342	28.057983
ENSMUSG00000000148___Brat1	24.093388	28.653765	29.580172	32.243294
ENSMUSG00000000149___Gna12	13.906032	12.562712	12.217505	13.022891
ENSMUSG00000000154___Slc22a18	0.188536	0	0	0
ENSMUSG00000000157___Itgb2l	0.043123	0	0.683774	0.826252
ENSMUSG00000000159___Igsf5	6e-06	0.179293	0.16876	1.30614
ENSMUSG00000000167___Pih1d2	3.889468	9.018786	5.943223	4.649196
ENSMUSG00000000168___Dlat	49.784885	60.012768	67.733383	70.580536
ENSMUSG00000000171___Sdhd	28.529306	18.174772	33.614738	28.416622
ENSMUSG00000000182___Fgf23	2.095152	0.948376	1.28693	1.254222
ENSMUSG00000000183___Fgf6	0	0	0	0
ENSMUSG00000000184___Ccnd2	28.420292	28.29804	17.507757	15.31388
ENSMUSG00000000194___Gpr107	76.983765	93.478249	84.381699	91.621155
ENSMUSG00000000197___Nalcn	89.902557	98.831429	120.939659	125.418068
ENSMUSG00000000202___Btbd17	4.139347	5.127469	5.313113	2.745523
ENSMUSG00000000204___Slfn4	0	0	0	0.087796
ENSMUSG00000000214___Th	3.12327	0.983152	14.954373	12.699
ENSMUSG00000000215___Ins2	0	0	0	0
ENSMUSG00000000216___Scnn1g	0.797347	0.345922	0.213946	0
ENSMUSG00000000223___Drp2	67.728516	88.272247	52.670971	45.491989
ENSMUSG00000000244___Tspan32	0.537035	0.610127	0.424435	0.959581
ENSMUSG00000000247___Lhx2	22.057117	27.795429	7.627012	7.250466
ENSMUSG00000000248___Clec2g	0.992419	0	0	0.142993
ENSMUSG00000000253___Gmpr	30.222982	32.758762	35.016281	37.679138
ENSMUSG00000000263___Glra1	0.813287	1.066087	9.553569	11.32124
ENSMUSG00000000266___Mid2	11.323236	13.186907	19.772209	18.924955
ENSMUSG00000000275___Trim25	0.426041	0.371489	0.827182	0.379284
ENSMUSG00000000276___Dgke	48.129822	47.563042	47.085751	45.723442
ENSMUSG00000000278___Scpep1	9.695637	13.469218	11.304379	11.368515
ENSMUSG00000000282___Mnt	6.328068	7.915726	5.118309	6.933567
ENSMUSG00000000290___Itgb2	0.30223	0.422725	0.270919	0.516627
ENSMUSG00000000295___Hddc2	13.675511	14.037551	15.35692	13.130373
ENSMUSG00000000296___Tpd52l1	8.306767	7.795399	9.63271	10.361724
ENSMUSG00000000301___Pemt	3.686425	5.404117	4.971739	4.898483
ENSMUSG00000000303___Cdh1	0	0.082626	0.209719	0.136478
ENSMUSG00000000305___Cdh4	9.2372	14.273348	19.604427	23.649397
ENSMUSG00000000308___Ckmt1	64.816406	68.788429	86.064308	71.516022
ENSMUSG00000000317___Bcl6b	1.35592	0.733298	0.61293	0.500839
ENSMUSG00000000318___Clec10a	0.078305	0.313922	0	0.151026
ENSMUSG00000000320___Alox12	0.792646	0.825554	0.850956	1.158142
ENSMUSG00000000325___Arvcf	30.595591	31.253635	33.217243	37.478752
ENSMUSG00000000326___Comt	52.277672	48.136696	50.784073	48.452057
ENSMUSG00000000339___Rtca	43.798817	41.522469	47.837837	36.228992
ENSMUSG00000000340___Dbt	7.011143	5.309673	8.504481	8.154118
ENSMUSG00000000346___Dazap2	20.250336	18.302517	26.582508	20.796181
ENSMUSG00000000355___Mcts1	99.607628	98.175125	128.533646	102.043701
ENSMUSG00000000359___Rem1	0.176613	0.808515	0.317811	0
ENSMUSG00000000365___Rnf17	1.26872	2.291951	3.668564	3.502814
ENSMUSG00000000374___Trappc10	58.908997	68.922028	75.335876	76.433533
ENSMUSG00000000378___Ccm2	20.341164	22.906033	34.164288	40.876392
ENSMUSG00000000381___Wap	0.460676	2.144965	0.94016	1.133759
ENSMUSG00000000384___Tbrg4	40.684338	46.362034	48.538643	61.409943
ENSMUSG00000000385___Tmprss2	0.087	0.064299	0	0.176783
ENSMUSG00000000386___Mx1	0.396791	0.465335	0.320674	0.112715
ENSMUSG00000000392___Fap	9.929094	14.28438	0.323013	0.233797
